attendance,study_hours,previous_score,assignment_score,internal_score,practical_score,participation,gpa,final_score
94.2,17.8,67.5,75.6,82.2,81.7,71.0,8.65,70.5
78.1,15.5,63.6,73.2,65.5,88.2,47.8,7.76,60.9
80.4,12.2,100.0,73.8,90.3,78.9,72.2,8.97,72.5
64.9,5.6,78.3,56.7,55.5,56.1,29.3,9.45,61.6
82.8,11.8,63.0,68.2,54.1,60.8,57.3,7.34,58.2
78.7,6.5,77.0,69.2,66.7,71.3,31.1,8.38,67.0
62.4,16.8,54.8,33.1,59.9,51.4,78.6,7.37,57.4
77.4,14.2,92.6,81.7,77.8,71.4,75.5,9.21,78.6
77.0,11.4,60.1,41.5,73.3,40.7,54.7,7.54,61.1
99.6,2.0,77.5,68.0,62.6,45.4,33.4,8.6,65.2
88.7,7.1,86.0,91.9,78.1,59.7,72.6,8.83,62.5
78.1,13.8,75.8,87.3,72.9,65.7,55.2,7.85,71.4
81.0,15.9,71.4,55.5,58.7,85.0,50.6,9.15,70.7
78.5,15.4,70.2,62.8,59.1,71.2,40.2,8.0,75.0
75.6,4.6,69.2,64.9,61.1,42.7,33.9,8.29,66.9
65.0,12.2,61.3,74.3,77.8,48.0,32.3,7.39,55.7
76.2,15.1,63.3,56.5,71.7,75.5,53.3,7.6,64.5
69.0,4.4,92.2,70.1,54.8,71.8,48.6,8.77,58.0
63.0,11.0,68.4,75.1,33.9,56.8,43.2,7.14,65.9
84.1,12.1,58.2,57.7,70.6,53.1,64.3,7.56,68.7
82.7,9.8,62.3,70.4,62.9,67.6,45.4,7.61,66.0
56.6,3.6,86.5,52.6,73.4,44.6,32.8,9.1,59.7
76.5,9.7,80.1,69.1,62.9,66.9,76.9,7.99,75.7
89.9,9.7,78.4,58.0,77.1,87.6,53.4,8.35,77.8
90.7,10.4,66.1,57.6,76.2,62.4,64.6,7.66,73.2
90.3,8.7,78.6,83.2,69.4,56.2,36.0,9.27,73.2
78.5,9.2,60.3,60.2,57.3,58.0,71.7,7.27,59.1
67.9,10.8,66.1,56.9,62.3,51.6,43.8,8.04,63.5
65.0,12.8,84.5,61.8,76.9,52.4,65.9,9.02,72.9
82.1,9.8,83.1,72.3,73.9,72.6,53.0,8.66,71.1
82.6,9.4,55.3,62.3,68.7,63.8,61.9,6.86,60.5
93.4,11.4,57.2,74.0,61.6,54.9,71.2,7.08,71.9
91.2,3.3,71.6,45.1,53.9,50.7,41.1,8.7,66.7
76.4,12.9,95.9,71.2,99.0,64.3,71.8,8.66,75.6
63.1,11.0,41.3,46.4,42.9,42.9,38.3,6.79,46.0
74.2,11.2,74.2,65.8,63.1,56.0,63.6,8.28,67.6
80.6,14.8,49.4,59.4,60.1,46.0,57.9,7.36,62.6
75.6,3.2,60.5,62.4,56.1,65.1,44.3,7.84,54.1
71.1,3.1,64.5,57.3,52.6,51.6,31.6,7.34,63.2
81.0,12.1,63.7,58.1,65.7,65.1,58.9,7.4,66.6
72.0,11.0,62.0,56.8,61.0,64.3,38.2,7.97,62.7
70.5,11.7,70.1,74.7,67.1,67.4,56.0,7.72,75.5
81.7,9.2,62.0,55.4,41.6,51.1,53.8,6.53,55.0
73.2,13.7,48.1,51.4,73.8,55.4,50.5,7.33,58.6
80.9,14.7,81.7,75.1,75.6,67.9,62.2,8.18,68.4
81.3,12.9,81.3,88.8,80.6,72.7,61.6,8.84,76.2
64.3,10.0,82.6,65.0,56.2,65.4,38.9,9.12,56.7
72.2,2.6,46.9,60.7,42.9,34.8,35.5,6.98,51.1
95.3,14.1,74.5,86.6,71.0,56.2,55.1,8.94,77.3
64.1,15.9,80.1,65.9,85.2,69.4,87.9,8.44,71.9
52.6,13.6,54.5,46.3,48.6,49.3,61.9,7.8,52.2
55.7,7.5,70.1,54.8,64.6,32.8,42.1,7.35,58.7
78.3,13.7,68.3,62.4,62.7,67.9,75.1,8.01,61.7
78.4,14.4,97.6,89.7,79.8,86.6,35.5,9.64,82.3
76.6,17.2,98.9,83.5,84.0,100.0,32.2,9.28,86.7
92.6,7.5,45.0,59.5,67.8,43.9,50.0,7.66,49.2
45.9,10.1,100.0,59.8,54.8,60.9,20.9,8.86,66.2
82.8,14.0,56.3,50.2,52.3,47.6,59.3,8.46,51.5
96.7,11.2,84.7,100.0,62.8,73.0,66.4,9.93,78.9
64.5,6.5,84.6,67.3,57.1,60.8,52.7,8.71,57.7
73.4,12.7,55.1,48.2,52.4,46.5,41.0,7.61,62.8
69.0,13.3,77.4,81.0,55.5,62.9,60.2,8.85,62.7
67.3,11.4,68.4,64.0,56.8,38.1,50.9,7.35,51.5
74.1,11.9,78.3,74.8,52.8,73.6,59.2,7.82,68.8
95.1,10.0,73.5,72.3,64.1,56.3,54.0,9.01,67.6
100.0,16.9,87.9,80.2,98.3,79.5,93.4,9.28,80.0
74.0,7.4,71.1,63.3,67.3,41.4,45.3,7.99,63.8
100.0,8.7,67.5,58.3,72.3,54.9,83.6,8.24,58.7
78.4,11.0,86.4,74.1,66.6,65.0,44.9,7.76,65.6
99.0,14.5,78.7,80.9,66.9,72.5,80.4,8.64,75.3
76.9,5.0,81.0,90.0,57.3,62.6,42.8,8.23,71.0
79.6,5.8,60.0,61.7,58.1,64.2,41.9,8.07,65.3
82.4,2.8,54.3,35.4,62.0,51.7,50.4,7.88,57.9
100.0,11.1,61.5,67.9,77.8,70.6,61.1,8.23,70.0
88.2,6.5,60.7,91.6,67.7,67.2,20.0,7.97,53.7
69.5,9.5,81.8,78.0,62.7,67.8,20.0,7.84,68.3
89.6,13.6,84.6,69.8,80.3,72.0,81.4,9.15,85.2
73.7,8.4,67.7,68.9,59.8,65.4,64.3,8.21,69.7
72.1,11.9,91.5,68.1,75.1,80.6,78.5,9.54,77.4
88.9,9.8,90.5,67.4,98.1,76.8,57.4,10.0,72.7
78.4,13.7,73.7,64.5,55.4,50.7,43.1,7.49,62.2
81.3,12.9,57.7,61.1,61.4,49.3,54.4,7.4,71.5
78.2,8.2,93.6,60.1,87.8,64.9,50.1,8.82,65.4
82.0,10.3,69.1,55.2,54.2,67.7,42.4,8.17,56.8
83.1,15.2,71.9,68.7,67.2,67.0,86.1,8.24,76.7
54.8,12.6,64.9,50.8,54.2,66.6,76.4,7.47,56.4
86.0,5.4,56.7,65.2,56.4,62.3,54.7,8.04,53.8
66.2,13.6,48.0,37.4,40.4,63.2,54.2,6.46,59.1
60.7,6.7,79.5,72.1,68.6,68.0,22.5,7.84,65.1
77.3,16.7,58.2,47.3,71.6,51.3,84.9,7.09,62.2
79.0,15.1,100.0,99.1,90.4,83.7,63.7,9.29,80.5
69.7,12.2,53.7,36.8,49.7,46.6,49.5,6.7,62.7
88.0,11.6,51.1,48.0,62.0,38.1,66.8,7.34,58.5
61.9,10.2,77.7,68.5,57.4,56.6,38.5,8.16,69.3
73.1,13.7,92.9,93.4,76.4,86.2,59.5,8.71,84.2
71.0,9.5,71.0,67.0,83.8,62.2,30.3,8.44,63.0
77.4,11.9,78.6,76.0,72.9,85.4,70.5,8.44,70.9
81.3,14.5,42.3,51.9,46.5,54.5,61.3,7.36,63.5
65.9,8.8,59.8,45.7,58.3,75.1,60.5,7.4,64.4
86.7,8.5,53.9,55.1,47.6,53.6,51.8,7.45,47.6
78.8,6.2,41.6,38.3,38.6,42.2,44.9,6.56,48.9
55.3,6.7,71.8,46.0,48.5,38.6,21.3,7.89,50.3
54.5,3.7,36.4,43.1,33.5,42.8,41.0,6.61,33.9
77.9,13.9,50.2,43.6,68.0,49.8,48.7,7.01,59.2
75.3,18.2,61.9,63.6,73.4,58.4,60.4,7.92,61.0
76.8,16.7,57.5,45.5,69.9,74.1,64.6,7.14,61.9
77.7,4.5,75.9,71.9,55.0,66.7,44.6,8.69,59.2
80.7,13.9,74.6,64.4,67.8,77.7,39.2,8.06,66.9
89.4,16.7,83.4,91.2,84.3,71.8,67.3,9.21,81.8
64.7,9.2,81.3,70.6,61.7,60.0,55.9,8.46,60.2
63.9,11.4,87.1,82.6,69.4,65.1,44.4,9.37,78.6
64.9,3.0,70.0,53.6,60.8,55.9,31.6,7.41,57.3
81.5,12.1,74.6,70.1,68.2,79.9,60.5,7.67,79.6
92.9,6.7,77.7,65.4,74.1,65.3,52.3,8.33,68.6
72.8,11.8,72.1,61.0,81.7,80.9,40.6,7.5,65.2
48.0,4.8,64.0,49.4,48.7,53.1,29.7,6.84,57.3
57.6,13.2,65.0,48.6,70.9,54.2,62.5,7.9,57.0
68.0,15.1,57.7,43.4,66.4,66.0,44.1,7.41,58.6
71.3,7.9,76.3,52.8,52.6,75.1,41.4,8.07,64.6
73.1,6.5,68.6,39.9,51.5,73.2,26.5,7.79,49.5
78.5,2.4,60.1,49.9,48.0,57.4,51.8,7.38,56.9
74.3,9.9,60.1,65.3,52.6,54.1,50.1,8.34,62.4
90.6,8.7,51.8,44.2,59.2,49.7,45.3,7.09,62.9
69.9,4.8,84.7,57.4,72.7,63.6,41.3,8.05,68.2
67.7,12.8,71.2,80.7,77.4,77.7,37.9,8.37,76.0
83.7,9.2,57.1,54.3,63.8,57.8,40.8,7.48,59.0
59.6,6.7,82.1,69.2,60.3,61.5,20.0,9.33,57.1
82.7,8.8,61.6,69.2,43.9,55.3,39.1,7.53,69.9
79.2,15.3,48.9,61.3,61.1,52.9,80.8,7.53,54.6
76.2,13.4,85.3,58.4,76.5,68.1,48.9,9.24,64.2
97.1,10.5,61.9,65.7,70.1,61.2,68.6,7.72,70.9
70.5,13.5,63.9,43.6,82.8,76.2,45.1,7.39,71.9
100.0,6.4,70.6,98.3,81.6,57.0,66.3,8.71,75.9
75.3,11.1,87.1,58.3,82.1,68.2,40.6,9.08,75.7
62.7,11.6,70.3,50.1,54.6,49.4,49.6,7.28,48.0
78.8,9.1,52.0,45.8,52.3,57.3,52.6,6.78,52.4
65.1,12.7,78.2,50.8,67.9,77.1,82.5,7.16,57.3
69.0,7.9,62.7,72.2,51.4,67.7,53.4,7.92,64.0
82.8,13.0,98.3,100.0,88.9,78.5,53.0,9.3,76.7
84.7,13.2,70.0,63.4,74.2,70.0,70.8,8.09,64.0
70.5,2.0,36.5,31.5,31.2,31.4,63.1,5.73,41.5
89.8,15.8,75.4,50.5,88.0,76.1,47.6,7.98,78.5
91.9,2.0,99.2,84.3,79.7,68.5,34.0,9.35,74.4
95.2,8.5,93.6,81.7,66.7,72.0,55.1,9.05,79.7
84.4,15.1,97.5,76.6,85.7,80.2,59.7,9.45,84.8
94.4,9.7,54.7,65.3,66.0,59.7,55.7,7.86,63.0
55.4,5.1,83.7,69.4,71.3,52.0,20.0,9.45,55.6
74.2,6.6,59.2,61.7,54.1,47.0,63.6,7.54,59.9
67.6,15.1,73.4,60.8,76.5,81.7,39.1,8.61,71.6
79.4,3.3,50.9,44.8,53.6,69.9,39.1,6.87,56.5
71.1,15.5,60.3,64.7,52.1,48.0,73.5,6.81,63.5
76.0,10.8,59.9,59.6,48.6,42.5,53.2,7.45,51.9
100.0,6.2,83.5,89.8,86.8,55.5,43.5,8.24,79.4
76.0,8.7,82.0,79.6,81.5,61.5,32.3,8.61,70.3
83.0,6.9,74.2,55.6,70.4,67.2,46.8,7.98,62.2
75.2,14.5,49.7,39.3,72.5,60.7,50.0,6.26,56.8
78.9,13.9,65.3,56.0,77.0,63.6,63.3,8.67,63.7
78.1,4.1,58.8,49.1,62.3,52.3,24.3,7.34,58.4
83.4,9.4,83.0,82.4,65.8,58.4,65.0,8.0,64.6
92.0,7.5,87.7,83.9,93.1,64.5,56.5,9.45,73.0
97.8,16.2,85.8,92.4,90.0,77.4,75.6,8.71,84.0
81.7,5.6,58.7,64.8,54.9,33.6,65.6,8.11,65.6
85.1,17.4,28.9,47.8,47.9,39.3,63.9,5.99,58.6
64.2,10.9,43.5,58.4,52.0,34.2,39.0,6.48,42.1
76.9,6.4,91.3,81.9,58.8,71.7,38.9,9.19,76.8
89.3,8.3,64.0,67.1,71.7,59.1,52.6,8.22,72.4
88.4,7.8,58.7,78.0,53.5,59.6,52.6,8.05,57.2
80.5,5.9,94.6,81.4,79.5,47.4,36.1,9.18,59.4
88.6,11.4,89.0,76.9,75.5,56.6,34.1,9.31,74.0
83.9,6.1,70.4,59.7,62.8,62.4,41.4,8.51,68.1
92.4,2.3,65.6,75.5,55.5,22.9,50.4,8.15,67.4
81.5,9.5,68.0,78.3,64.6,70.5,55.5,7.97,63.2
73.7,3.8,73.4,65.7,78.9,34.1,55.6,7.54,70.3
82.0,8.0,94.0,93.5,90.5,76.7,76.7,9.48,69.8
42.8,7.4,76.3,37.3,60.1,42.9,42.4,7.97,50.0
82.6,7.5,80.9,72.8,71.0,72.4,68.7,8.45,68.7
40.0,19.0,87.5,61.7,78.6,100.0,62.2,8.99,77.9
57.3,11.2,52.5,41.6,62.6,25.8,68.2,6.41,57.6
83.4,12.0,81.3,97.8,67.8,74.6,83.2,9.4,82.6
83.7,3.9,65.6,64.7,60.3,32.8,57.1,7.95,52.1
64.1,8.4,32.3,36.1,25.7,41.7,53.1,6.36,44.8
69.5,11.9,38.1,45.5,59.5,43.2,49.9,6.37,53.4
94.4,6.9,54.7,43.1,79.8,53.1,54.4,6.85,52.0
72.2,14.6,78.0,60.6,73.1,58.0,54.4,8.31,58.1
100.0,6.2,71.7,84.3,51.7,67.5,64.2,8.58,74.7
78.0,9.9,72.8,61.0,73.1,45.7,43.5,8.51,63.5
82.9,8.7,99.3,75.3,73.3,84.1,50.4,9.37,70.4
97.4,11.7,51.0,75.2,58.1,52.3,34.2,6.48,62.0
79.6,8.4,69.6,79.5,71.1,43.3,73.4,7.39,68.5
66.0,9.9,74.6,69.3,67.3,74.6,44.7,9.07,65.2
76.7,10.1,59.0,54.7,56.1,53.3,58.5,7.08,50.8
77.6,8.1,70.4,63.5,59.1,76.0,68.4,8.74,74.4
61.6,12.9,46.0,38.8,53.0,60.8,54.9,6.39,56.6
74.9,12.0,91.1,66.4,73.9,62.4,74.0,8.92,71.6
69.1,10.6,59.8,46.6,49.1,52.6,34.1,7.8,53.0
89.1,9.3,100.0,80.0,81.2,75.2,88.0,9.2,83.2
78.4,14.2,69.5,55.3,72.7,79.3,75.0,8.79,63.7
74.6,10.1,85.4,57.5,71.5,69.8,54.4,8.77,70.3
76.7,9.8,69.2,67.1,52.7,60.0,70.6,8.24,57.1
80.7,11.4,69.5,68.8,77.0,59.1,41.7,7.98,67.1
85.4,17.8,61.2,80.6,45.8,65.5,66.7,8.08,63.0
66.0,5.6,71.8,55.9,56.2,65.3,58.6,8.73,53.5
65.5,14.1,74.8,67.0,62.7,63.7,30.5,8.09,73.2
91.3,3.4,58.2,67.1,60.6,44.6,54.5,8.49,59.9
73.1,11.9,68.1,60.5,70.5,53.9,61.2,7.67,65.3
61.0,17.3,60.8,62.3,72.7,54.8,84.2,7.81,55.0
83.3,13.0,100.0,91.9,78.9,63.2,40.2,9.72,77.6
83.6,11.7,68.7,70.3,74.0,54.1,79.6,7.61,71.4
59.6,8.8,93.2,69.6,73.2,79.4,35.3,9.0,70.1
80.8,11.1,67.1,61.6,51.3,57.6,50.6,7.99,51.6
86.8,10.0,73.9,57.4,88.1,69.6,41.2,7.98,70.6
82.5,7.9,50.2,48.4,43.2,23.7,37.1,7.41,52.1
85.6,9.8,63.3,58.5,69.0,63.1,61.5,7.94,71.1
61.1,11.8,73.2,50.4,67.9,57.7,34.3,7.99,57.2
82.0,7.9,93.8,84.7,80.3,63.3,60.8,9.17,65.0
74.4,7.8,73.3,78.3,60.7,59.0,38.8,8.15,59.4
72.2,5.6,90.8,66.1,78.9,57.0,26.7,8.79,61.7
88.4,12.6,79.6,77.6,62.3,47.4,55.6,8.71,74.8
95.8,13.2,94.4,75.1,85.9,86.7,71.2,9.11,69.7
99.5,11.9,69.1,69.8,68.9,67.8,62.7,9.5,70.0
93.8,14.9,100.0,80.9,83.9,78.4,69.4,8.99,92.1
76.7,11.4,62.7,67.4,67.3,47.5,64.0,7.48,63.6
82.2,12.6,58.5,54.2,73.7,43.2,73.7,7.39,67.7
87.2,12.2,51.8,69.2,58.8,57.7,57.2,8.3,54.8
79.5,10.6,100.0,80.4,89.4,89.8,41.3,8.86,72.3
79.6,8.9,82.3,66.6,72.6,65.6,52.8,8.85,76.6
87.9,19.9,65.0,54.0,66.7,56.8,81.4,8.09,70.7
